Row Labels,Average of FRI_ALLFIR
South Valley Alluvium,59.83333333
Southeastern Floodplains and Low Terraces,46.66216216
Southeastern Wisconsin Savannah and Till Plain,262
Southern Backswamps,64.33333333
Southern Blackland/Fayette Prairie,31.75
Southern California Lower Montane Shrub and Woodland,106.2702703
Southern California Montane Conifer Forest,107.6388889
Southern California Subalpine/Alpine,78.70588235
Southern Carbonate Front,169.5714286
Southern Cascades Foothills,109.1568627
Southern Cascades Slope,124.0512821
Southern Channel Islands,42.05882353
Southern Clayey Basins,54.5
Southern Coast and Islands,108.35
Southern Crystalline Ridges and Mountains,76.5
Southern Dissected Ridges and Knobs,112.6440678
Southern Forested Mountains,136.9117647
Southern Garnet Sedimentary-Volcanic Mountains,108.28
Southern Hardpan Terraces,70.25
Southern Hilly Gulf Coastal Plain,46.36956522
Southern Holocene Meander Belts,66.46428571
Southern Illinoian Till Plain,165.2666667
Southern Inner Piedmont,60.97674419
Southern Limestone/Dolomite Valleys and Low Rolling Hills,91.15
Southern Metasedimentary Mountains,81.25
Southern Missouri Coteau,64.54545455
Southern Missouri Coteau Slope,56
Southern New England Coastal Plains and Hills,341.4642857
Southern New Mexico Dissected Plains,67.66666667
Southern Oregon Coastal Mountains,166.5263158
Southern Outer Piedmont,44.11111111
Southern Ozarkian River Bluffs,162.8181818
Southern Pine Plains and Hills,40.22580645
Southern Pleistocene Valley Trains,119.4166667
Southern Post Oak Savanna,22.13461538
Southern Puget Prairies,864.1578947
Southern River Breaks,38.48
Southern Rolling Plains,56.90625
Southern Sandstone Ridges,119.5211268
Southern Santa Lucia Range,46.47826087
Southern Sedimentary Ridges,85.47222222
Southern Shale Valleys,105.6615385
Southern Shawnee Hills,150.1666667
Southern Sierra Lower Montane Forest and Woodland,123.1904762
Southern Sierra Mid-Montane Forests,118.6206897
Southern Sierra Subalpine Forests,115.18
Southern Sierra Upper Montane Forests,113.2142857
Southern Sierran Foothills,109.9259259
Southern Subhumid Gulf Coastal Prairies,16.1875
Southern Table Plateaus,85
Southern Tertiary Uplands,57.96551724
Southwestern Florida Flatwoods,112.5263158
Spokane Valley Outwash Plains,98.92307692
Springfield Plateau,73.74358974
St. Croix Pine Barrens,361
St. Croix Stagnation Moraines,265.2272727
St. Francis Lowlands,101.6451613
St. Francois Knobs and Basins,47.88235294
St. Joe Schist-Gneiss Zone,114.3913043
St. John Uplands,436
St. Lawrence Lowlands,519.2
Steeply Rolling Loess Prairies,54.04
Stillwater-Swan Wooded Valley,130.5490196
Stockton Basin,17
Stockton Plateau,61.875
Subalpine-Alpine Zone,121.9056604
Subhumid Pierre Shale Plains,28.18181818
Sub-Irrigated High Valleys,117.7317073
Suisun Terraces and Low Hills,38.74193548
Summit Interlobate Area,342.2
Sunapee Uplands,401.1428571
Sunset Crater Volcanics,110.3333333
Superior Mineral Ranges,462.2
Sutter Buttes,29.1
Swamps and Peatlands,37.4375
Sweetgrass Uplands,71.53333333
Taconic Foothills,355.6
Taconic Mountains,384.25
Talladega Upland,89.14285714
Tallahasee Hills/Valdosta Limesink,34.5
Taos Plateau,120.7021277
Tawas Lake Plain,407
Tehachapi Foothills,159.7777778
Tehachapi Mountains,130.8070175
Tehama Terraces,75.48780488
Temblor Range/Elk Hills,89.89473684
Tertiary Uplands,27.81818182
Tewaukon/Big Stone Stagnation Moraine,62.30769231
Texas-Louisiana Coastal Marshes,62
Texas-Tamaulipan Thornscrub,30.24390244
Tifton Upland,33.63157895
Tobacco Plains,101.0714286
Tobacco Root Mountains,178.5581395
Toimi Drumlins,325.4
Tonopah Basin,389.7560976
Tonopah Sagebrush Foothills,367.1
Tonopah Uplands,281.4827586
Townsend Basin,213.9807692
Townsend-Horseshoe-London Sedimentary Hills,134.8846154
Transition Hills,66.5
Transitional Sandy Plain,17.72222222
Trap Rock and Conglomerate Uplands,269.5952381
Treasure Valley,256.7777778
Triassic Basins,76.24137931
Triassic Lowlands,232.047619
Tug Hill Plateau,531.3125
Tug Hill Transition,473.0555556
Tulare Basin/Fresno Slough,27.83333333
Turtle Mountains,65.69230769
Tuscan Flows,106.08
Uinkaret/Aubrey Montane Conifer Forest,142.3043478
Uinta Basin Floor,133.3846154
Uinta Subalpine Forests,84.14285714
Umatilla Dissected Uplands,94.0952381
Umatilla Plateau,149.0422535
Umpqua Interior Foothills,135.7906977
Unglaciated High Allegheny Plateau,322.3243243
Unglaciated Montana High Plains,96.41269841
Unglaciated Upper Muskingum Basin,342.2
Unwooded Alkaline Foothills,180.1538462
Uplands and Valleys of Mixed Land Use,223.8636364
Upper Boston Mountains,15.14285714
Upper Canadian Plateau,68.71111111
Upper Coachella Valley and Hills,328.2173913
Upper Humboldt Plains,250.375
Upper Lahontan Basin,262.1034483
Upper Mississippi Alluvial Plain,129.4042553
Upper Montane/Alpine Zone,570.5333333
Upper Owens Valley,298.2653061
Upper Sacramento River Alluvium,27.9375
Upper Santa Clara Valley,39.52631579
Upper Snake River Plain,214.3333333
Upper St. John Wet Flats,469
Upper St. Lawrence Valley,500.5294118
Upper Wolf River Stagnation Moraine,367.5882353
Valley Foothills,226.3684211
Valparaiso-Wheaton Morainal Complex,193.4285714
Vanderbilt Moraines,391.4444444
Venturan-Angeleno Coastal Hills,67.91304348
Vermont Piedmont,372.1315789
Virgin/Shivwits Woodland,190.7619048
Virginian Barrier Islands and Coastal Marshes,95
Volcanic Mid-Elevation Forests,105.1481481
Volcanic Subalpine Forests,107.4814815
Volcanics,763.025641
Wabash River Bluffs and Low Hills,281.1428571
Wabash-Ohio Bottomlands,163.4772727
Wadena/Todd Drumlins and Osakis Till Plain,257.2608696
Wallowas/Seven Devils Mountains,117.0338983
Warner Mountains,168.0408163
Wasatch Montane Zone,107.8181818
Weippe Prairie,104.7222222
Wenatchee/Chelan Highlands,935.2758621
Western Beaverhead Mountains,129.84375
Western Canadian Rockies,122.7659574
Western Cascades Lowlands and Valleys,517.6111111
Western Cascades Montane Highlands,611.7058824
Western Cross Timbers,13.78125
Western Dissected Illinoian Till Plain,160.1
Western Highland Rim,90.16363636
Western Klamath Low Elevation Forests,44.22727273
Western Klamath Montane Forests,69.35714286
Western Loess Hills,61.23809524
Western Lowlands Holocene Meander Belts,44.41176471
Western Lowlands Pleistocene Valley Trains,57.88461538
Western Maine Foothills,409.1666667
Western Mojave Basins,280.5409836
Western Mojave High Elevation Mountains,124.5833333
Western Mojave Low Ranges and Arid Footslopes,401.1142857
Western Mojave Mountain Woodland and Shrubland,274.32
Western New England Marble Valleys,366.2857143
Western Okanogan Semiarid Foothills,133.6585366
Western Ouachita Valleys,15.82142857
Western Ouachitas,15.07407407
Western Pennyroyal Karst Plain,92.73684211
Western Selkirk Maritime Forest,102.8695652
Western Sonoran Basins,374.55
Western Sonoran Mountain Woodland and Shrubland,159.6451613
Western Sonoran Mountains,294.2962963
Western Transverse Range Lower Montane Shrub and Woodland,77.26086957
Western Transverse Range Montane Forest,84.16666667
Western Valley Foothills/Dunnigan Hills,33
Westside Alluvial Fans and Terraces,55
Wet Meadow and Marsh Plain,19.8
Wetlands,351.3181818
White Mountain Foothills,409.1666667
White Mountains/Blue Mountains,409.1666667
White River Badlands,25.61904762
White River Hills,12.27272727
Whitewater Interlobate Area,295.5555556
Wichita Mountains,17.53333333
Willamette River and Tributaries Gallery Forest,177.2380952
Willapa Hills,763.28
Willcox Playa,288
Winegar Dead Ice Moraine,524.6315789
Wisconsin/Michigan Pine Barrens,428.6129032
Wooded Osage Plains,95.4
Woodland- and Shrub-Covered Low Mountains,179.2347826
Worcester/Monadnock Plateau,411.1764706
Yakima Folds,417.1538462
Yakima Plateau and Slopes,396.7954545
Yellowstone Plateau,157.1578947
Yolo Alluvial Fans,27.77777778
Yolo/American Basin,25.14285714
